,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,10.0,0.8701951790383359,0.013519135238139305,0.0002092683255579615,3.234415576266959e-06,4.994140760502074e-08,7.705648269934964e-10,1.1882447250656551e-11,1.8314438018334969e-13,2.8216459843382127e-15,4.413607431981982e-17,0.0,0.17122320295887036,0.002661801144520597,4.1216471739040686e-05,6.371723542524212e-07,9.839935625446246e-09,1.5184377146681473e-10,2.3417506537980557e-12,3.60967926655997e-14,5.648770253257005e-16,0.0,0.09632220898895749,0.0014932062744311503,2.309693345193205e-05,3.5682412196587104e-07,5.5078452762806546e-09,8.49617178632847e-11,1.309883296277654e-12,2.0185818809669004e-14,3.1581370900176463e-16
11,11.0,0.8597999401622547,0.015675499135788848,0.0002848524516263683,5.169204869609646e-06,9.372260664454469e-08,1.6981708713170646e-09,3.0753394181386205e-11,5.566954089440276e-13,1.0073543087732472e-14,1.8558071088968048e-16,0.0,0.1627416364509334,0.0029689535068275117,5.3968776921292365e-05,9.79580500318189e-07,1.7763604759279254e-08,3.2190256365908046e-10,5.830194474873604e-12,1.0554748125709355e-13,1.945253969515486e-15,0.0,0.10111103921935634,0.0018398456114950693,3.341164633319541e-05,6.060844184416175e-07,1.098585285209818e-08,1.990113047766759e-10,3.6034078053371117e-12,6.521894609866711e-14,1.2017382882936724e-15
12,12.0,0.8497842300600011,0.01788804783036625,0.00037542089315872337,7.8692831000748e-06,1.648182970253842e-07,3.450002866291779e-09,7.218217703571885e-11,1.5096337884095237e-12,3.156231543319364e-14,6.73769010869319e-16,0.0,0.15472672892235512,0.0032591201656833185,6.842210678523379e-05,1.434521063406688e-06,3.0050210858471295e-08,6.29097339826877e-10,1.3163618711135434e-11,2.7533229841074826e-13,5.87981580423725e-15,0.0,0.1053115646081232,0.0022129438999772956,4.641681567892994e-05,9.726203862314156e-07,2.0366113838108044e-08,4.2622663085322265e-10,8.916297538868393e-12,1.8645327430968085e-13,3.9809909554572315e-15
13,13.0,0.8401299061140186,0.020142968897789187,0.00048162452446428217,1.1502763919872532e-05,2.7452397160745154e-07,6.548248982344114e-09,1.5612950795152627e-10,3.721270463621291e-12,8.866786112843792e-14,2.16368791256742e-15,0.0,0.14714943939798092,0.0035303388968480074,8.443880359823884e-05,2.0171092778560515e-06,4.814795239072135e-08,1.1486269796893575e-09,2.738960277032155e-11,6.528782524593261e-13,1.5937259916075118e-14,0.0,0.10897592611376716,0.002608652380287798,6.234151539026861e-05,1.4884661914532036e-06,3.551598004860032e-08,8.470259782157398e-10,2.0192865244165716e-11,4.812323388983673e-13,1.1745099361105231e-14
14,14.0,0.8308199216513394,0.022428238178918987,0.00060392479388835,1.62449895896924e-05,4.3668359973574213e-07,1.1732778170534307e-08,3.1511236587939355e-10,8.460373796607881e-12,2.2708770211059057e-13,6.261864855112853e-15,0.0,0.1399827879238108,0.003781321847989801,0.00010185254692923213,2.74032581351125e-06,7.367496936491815e-08,1.979749361547948e-09,5.317673915974586e-11,1.4278612972089045e-12,3.9385786972313606e-14,0.0,0.11215156675500092,0.0030231576803753306,8.136679937492013e-05,2.1880945335147803e-06,5.880722837224388e-08,1.5797956941547182e-09,4.2424204911672773e-11,1.1389226076229123e-12,3.1410374316221953e-14
15,15.0,0.8218382461183121,0.024733400776414186,0.0007426082107927906,2.2275086967846827e-05,6.677482230051565e-07,2.0008272907391503e-08,5.993087697362455e-10,1.794578531563127e-11,5.372345463391977e-13,1.6575368999623516e-14,0.0,0.13320168912885588,0.0040113260622485275,0.00012047707497331302,3.614579630412531e-06,1.083730854150806e-07,3.24768994298826e-09,9.728871934503076e-11,2.91349668427333e-12,8.991847627147499e-14,0.0,0.11488168894335324,0.003452757913178655,0.00010362400405553715,3.1075248446832903e-06,9.313954682280183e-08,2.7904504115735523e-09,8.357365468995775e-11,2.502318663003648e-12,7.721588990773404e-14
16,16.0,0.8131697920223695,0.027049379697969507,0.000897802345780832,2.9772706599139923e-05,9.86755253482321e-07,3.2690300705004474e-08,1.0826407432820795e-09,3.5845154395020294e-11,1.1865187201841445e-12,4.0610927418475053e-14,0.0,0.12678280094441347,0.004220045769463261,0.00014011386540548954,4.64742519039757e-06,1.540543045170378e-07,5.1043395790364115e-09,1.6906429551248049e-10,5.598068222651847e-12,1.91661300105463e-13,0.0,0.11720566318905179,0.0038939168491128533,0.00012919493929747125,4.283397544785463e-06,1.4194285060683968e-07,4.701890301906809e-09,1.557030418615328e-10,5.1547655107113694e-12,1.7645684683697368e-13
17,17.0,0.804800347989137,0.029368308465339627,0.001069492428009425,3.891503139602766e-05,1.415233412539475e-06,5.1448191514982635e-08,1.869728360507637e-09,6.793228008047488e-11,2.4676258769175603e-12,9.299578711809585e-14,0.0,0.12070438694163663,0.00440752289680762,0.00016055871245646445,5.843422001663387e-06,2.1254369813888894e-07,7.727633546830392e-09,2.8086770364754103e-10,1.02056265545235e-11,3.847204279666423e-13,0.0,0.11915939381592872,0.004343300922288401,0.00015811355617828893,5.752061128714764e-06,2.091582827099874e-07,7.60277310398911e-09,2.7627657349879297e-10,1.0037169959897754e-11,3.783149046249335e-13
18,18.0,0.7967165173532615,0.03168338452843829,0.0012575378893395488,4.987410976363126e-05,1.9770411904416836e-06,7.834281068002688e-08,3.103545575899593e-09,1.2291758595645953e-10,4.867230466485903e-12,2.0063821384570453e-13,0.0,0.11494619092061945,0.004574072833685564,0.0001816072145048687,7.2041188900443726e-06,2.856220415479399e-07,1.1319608078162772e-08,4.484739746390672e-10,1.77636958290082e-11,7.324552788801747e-13,0.0,0.12077564661294761,0.0047978028774560335,0.0001903687215647003,7.548709552956982e-06,2.991990741071e-07,1.1855050072993366e-08,4.696020225871032e-10,1.859767980264224e-11,7.667362725316115e-13
19,19.0,0.7889056617630904,0.03398874076576116,0.0014616884056185859,6.281454259106612e-05,2.6981486096670415e-06,1.1585763591026617e-07,4.973558021049014e-09,2.1345849240707682e-10,9.159621111678089e-12,4.10592657167615e-13,0.0,0.10948932253549795,0.004720222970527342,0.00020305923455518572,8.72814262800137e-06,3.749710855756173e-07,1.6103223158092317e-08,6.913567524061345e-10,2.967485739552567e-11,1.3305567514932941e-12,0.0,0.12208434273768637,0.005254555099603861,0.00022590777830874023,9.706598024412498e-06,4.168934697408774e-07,1.789978738220965e-08,7.683542693200136e-10,3.297491394219517e-11,1.4783267259050747e-12
20,20.0,0.7813558493338681,0.03627933272877744,0.0016815991357588891,7.789153376912428e-05,3.6063730840211e-06,1.6692192222009137e-07,7.724087098830454e-09,3.5734751629271223e-10,1.652941248044022e-11,8.015281566044426e-13,0.0,0.10431615287304746,0.004846661934741163,0.00022472242344854325,1.0411369848557061e-05,4.82123774140011e-07,2.2318114541080165e-08,1.032852140255461e-09,4.778833919066949e-11,2.317874805451966e-12,0.0,0.12311282265684333,0.005710935052857218,0.0002646406201067083,1.2256356561654664e-05,5.67412651247894e-07,2.6260896189774757e-08,1.2151155863236208e-09,5.621339250722109e-11,2.7261647210462702e-12
21,21.0,0.774055806932341,0.03855083960907468,0.0019168449711862545,9.524929906488151e-05,4.731080447652913e-06,2.349251359947626e-07,1.1662624800483265e-08,5.788665214075902e-10,2.8726869875657965e-11,1.4998033012987895e-12,0.0,0.09941021901936468,0.004954197783566996,0.00024641490899658707,1.2247161889747753e-05,6.084211102249021e-07,3.0215490881732704e-08,1.5001798705264557e-09,7.44673049985838e-11,3.8887886065510726e-12,0.0,0.12388608344876288,0.0061645647604151735,0.00030644405813577886,1.5225412987512876e-05,7.561870205949171e-07,3.75465133904462e-08,1.863861048763759e-09,9.250744298893319e-11,4.830272893257624e-12
22,22.0,0.7669948762183955,0.04079957718150451,0.0021669336907165922,0.00011501981750337864,6.102861949462414e-06,3.23722230038091e-07,1.716781949137668e-08,9.102863558514024e-10,4.8258400891067394e-11,2.7012127828335688e-12,0.0,0.09475613675247535,0.005043723694465569,0.0002679672580872416,1.4226643847628785e-05,7.549767860463009e-07,4.005242331118014e-08,2.124311846481057e-09,1.126474425795443e-10,6.306760289444085e-12,0.0,0.12442699239319727,0.006613305859157017,0.00035116630053004674,1.8637530504930747e-05,9.888143844579611e-07,5.244789975948038e-08,2.7813163121414064e-09,1.4746755429108815e-10,8.255237815872555e-12
23,23.0,0.7601629731072738,0.04302242121155548,0.002431317975948758,0.0001373219021198638,7.753197322207388e-06,4.3762969429010877e-07,2.469686309001639e-08,1.393482762025235e-09,7.861352505079827e-11,4.699477693404004e-12,0.0,0.09033952058990749,0.005116189928433677,0.0002892238165076867,1.633901127346401e-05,9.226501614360225e-07,5.208578640027539e-08,2.939687005437376e-09,1.6588268884325537e-10,9.918574542366662e-12,0.0,0.124756479425505,0.007055251442396453,0.000398631404651279,2.2512459743515092e-05,1.2709635417304524e-06,7.173584327717937e-08,4.048118476740506e-09,2.284011067215491e-10,1.3655140708205952e-11
24,24.0,0.7535505503495389,0.04521674001667418,0.0027094062852122025,0.00016226056236773664,9.714113075009263e-06,5.814126373226278e-07,3.47920324459728e-08,2.081632429504311e-09,1.2452819095519158e-10,7.922496435653399e-12,0.0,0.08614691050093462,0.0051725810380626545,0.00031004352511616515,1.8571850346794503e-05,1.1120277181527097e-06,6.656610415361673e-08,3.983779795771794e-09,2.3837446663469207e-10,1.5168653459299947e-11,0.0,0.12489371072910044,0.007488715646915528,0.00044864359568054426,2.686570108668144e-05,1.6082765737188254e-06,9.625466559009747e-08,5.75971824085207e-09,3.445977791005912e-10,2.192557821338896e-11
25,25.0,0.7471485629559685,0.04738033504432425,0.0030005726141239474,0.00018992662799949102,1.2017844033583133e-05,7.602634230719088e-07,4.808616970061074e-08,3.0409477353333727e-09,1.9228275798105248e-10,1.2977252201706534e-11,0.0,0.0821657046646311,0.00521389745668863,0.0003303003027148063,2.091145978792399e-05,1.323412745768748e-06,8.373153600833197e-08,5.296536815377884e-09,3.349815810147226e-10,2.261275922281823e-11,0.0,0.12485624547505637,0.007912221733704532,0.0005009913734399406,3.170837008803383e-05,2.00627281467557e-06,1.2691402376025913e-07,8.026972196887835e-09,5.076088349984892e-10,3.426213806051056e-11
26,26.0,0.7409484362212162,0.04951138847845016,0.0033041651910819658,0.00022039660337424348,1.4696504952738742e-05,9.79772601805316e-07,6.530692522373114e-08,4.352405285719019e-09,2.900313876806703e-10,2.0704088008494985e-11,0.0,0.07838409771824698,0.005241140742935205,0.0003498830766618471,2.3343165104709676e-05,1.5568227276608653e-06,1.0380220944925891e-07,6.91970197411008e-09,4.6120885952191147e-10,3.293036223849999e-11,0.0,0.12466017748608862,0.00832448924598354,0.0005554513529157524,3.704715672164708e-05,2.47025708121853e-06,1.6467877471521632e-07,1.0976386991666398e-08,7.315089788375097e-10,5.2224277483942924e-11
