,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
10,10.0,0.8689404781394352,0.013490928907428285,0.00020869680172896357,3.223498546548244e-06,4.9740694217726494e-08,7.669723238220707e-10,1.1819412656875775e-11,1.8205521563498342e-13,2.8030549827195695e-15,4.381653275247397e-17,0.0,0.1712566984825767,0.0026605961452090703,4.117114271403392e-05,6.360598783474399e-07,9.816404412602494e-09,1.5138274528424154e-10,2.3331321368687895e-12,3.594071050812518e-14,5.620655697301093e-16,0.0,0.09623101246533626,0.001490827654146634,2.304523163267397e-05,3.5579527632074476e-07,5.4884157309111185e-09,8.46073155979845e-11,1.3035768937637919e-12,2.007566260577361e-14,3.138843207080659e-16,0.0012948766997839495,2.005335186612363e-05,3.09925830587956e-07,4.784316359033938e-09,7.379436809303044e-11,1.1374935539703519e-12,1.752460039658077e-14,2.698707846662643e-16,4.154299793786099e-18,6.492718631454673e-20,0.004611063965437779,7.158812861941578e-05,1.1074998837421286e-06,1.7107218781556856e-08,2.6398753448691446e-10,4.0706871428588515e-12,6.273328644941661e-14,9.663125181803167e-16,1.4878428007587355e-17,2.3258056517826296e-19,4.815324306061184e-07,7.4477274657588485e-09,1.1502523404425757e-10,1.7747957745699128e-12,2.736491725379911e-14,4.216892776725034e-16,6.49508619806033e-18,1.000001473298587e-19,1.5390819918059494e-21,2.4050128171559275e-23
11,11.0,0.8584523702747918,0.015640056974715894,0.00028401078638151856,5.1503476424337455e-06,9.331578657502898e-08,1.6896243203489009e-09,3.0577351175928296e-11,5.531240261584405e-13,1.0001962987177778e-14,1.8413163684154335e-16,0.0,0.16277969469971906,0.002967576480231545,5.3906163720111146e-05,9.77762804972262e-07,1.7718303962935997e-08,3.208582766255655e-10,5.80723894067198e-12,1.0505879987624707e-13,1.9348765981591913e-15,0.0,0.1010084013436484,0.0018366985760117154,3.333128597667692e-05,6.042060800023089e-07,1.0944189467656124e-08,1.9811870860361312e-10,3.5847520841591213e-12,6.483619262108699e-14,1.1938399944638478e-15,0.0013941049870085267,2.534095683699483e-05,4.5978510718218435e-07,8.33357439659682e-09,1.5093384148806014e-10,2.7320809094747678e-12,4.943082212042307e-14,8.939863668767914e-16,1.6162766580015684e-17,2.9750125460754345e-19,0.004495518712771987,8.190120981100443e-05,1.4873591664406012e-06,2.6973781628270542e-08,4.887426701641072e-10,8.849768488083348e-12,1.6016066887363044e-13,2.897283538717183e-15,5.2391976475257476e-17,9.645351593951256e-19,5.650663833768814e-07,1.0259389786005174e-08,1.860294454176289e-10,3.3703246887785438e-12,6.102181661276447e-14,1.1042754995384504e-15,1.9974943259643184e-17,3.61190057698443e-19,6.529017575563366e-21,1.2015863646500627e-22
12,12.0,0.8483482366483167,0.017844575012570345,0.00037423053801243725,7.83850934109156e-06,1.640519097861759e-07,3.4314124125467857e-09,7.173994979087415e-11,1.4992717690885297e-12,3.132241987338619e-14,6.681413236659284e-16,0.0,0.15476927869540394,0.0032575895973792146,6.8339117807937e-05,1.4317163498116351e-06,2.9969178529398284e-08,6.269350059555438e-10,1.310863277616118e-11,2.739786724759718e-13,5.846473481992991e-15,0.0,0.10519790025474855,0.0022089129578699886,4.6297850623053014e-05,9.694071733992135e-07,2.0283760516468196e-08,4.2418801593118256e-10,8.867065639595748e-12,1.85286162630071e-13,3.953073843786768e-15,0.0014890308483421354,3.125527365037835e-05,6.549735731239635e-07,1.3712383243152076e-08,2.8688792354769676e-10,5.999118785486975e-12,1.2539488482065307e-13,2.6200991968313673e-15,5.472955614531551e-17,1.1672695952716837e-18,0.004383533987897931,9.220301554179422e-05,1.933781738004849e-06,4.050663926496079e-08,8.478012551924416e-10,1.7733826894258865e-11,3.707703611206315e-13,7.748843512731054e-15,1.6189111244369308e-16,3.453395117774505e-18,6.523984492836545e-07,1.3679578511960536e-08,2.8650102995019776e-10,5.995784721466123e-12,1.2540546455629997e-13,2.6217276508833678e-15,5.478890731830013e-17,1.1446042933913535e-18,2.3905263481178176e-20,5.097799908196977e-22
13,13.0,0.8386096545868239,0.020090709028545588,0.0004799969678960114,1.1454871548347231e-05,2.73165868827753e-07,6.51072757390907e-09,1.5511276593064703e-10,3.694128771181739e-12,8.795191487360892e-14,2.1444881638919634e-15,0.0,0.14719637300479083,0.003528678383840496,8.433255840786647e-05,2.0129841332334346e-06,4.801164591058383e-08,1.1444734587364431e-09,2.7269078335666908e-11,6.494937874955139e-13,1.5841862505475128e-14,0.0,0.108851739166934,0.0026036272371679366,6.217242854232066e-05,1.4832604471305348e-06,3.536391002689893e-08,8.427355084042511e-10,2.0074773214316617e-11,4.780415932031283e-13,1.1657823030949438e-14,0.0015798893786594717,3.777627351257336e-05,9.018969275312169e-07,2.1513972924957713e-08,5.12885985937648e-10,1.2221298285901696e-11,2.911036932249666e-13,6.931668140620358e-15,1.6500850487680262e-16,4.022779357796804e-18,0.004274967629584031,0.00010241350528953989,2.446977881979993e-06,5.839914573394933e-08,1.3927171401138445e-09,3.3195785286081406e-11,7.908889260490464e-13,1.883617371083604e-14,4.4847396436881e-16,1.0935180419202852e-17,7.430528588225038e-07,1.7749695752084642e-08,4.2354796531686827e-10,1.0099767759501384e-11,2.407097651133692e-13,5.734493259056923e-15,1.3656694954101713e-16,3.2513740263182493e-18,7.738827223171367e-20,1.886427232590478e-21
14,14.0,0.829219318418214,0.02236647729470286,0.0006017622691534494,1.6173394845835748e-05,4.3439849922822083e-07,1.1661703829772049e-08,3.1294379055507266e-10,8.395183969124479e-12,2.2515110523346065e-13,6.2031753860996445e-15,0.0,0.14003396823275902,0.0037795590442818963,0.00010172049269444975,2.7345006140175003e-06,7.345733579379755e-08,1.972263313098536e-09,5.2931711095954907e-11,1.420103039038402e-12,3.913840143106116e-14,0.0,0.11201742849922,0.0030170353246823604,8.113462895683618e-05,2.1800407268266394e-06,5.8542168648116004e-08,1.57137067650889e-09,4.216296075466718e-11,1.130970591456784e-12,3.116449027284485e-14,0.0016669001119950229,4.488014748359576e-05,1.2067002773900422e-06,3.2419196237537774e-08,8.704905564398222e-10,2.3363591961001662e-11,6.268494738344301e-13,1.6813519908667988e-14,4.508613233539436e-16,1.2420212504453088e-17,0.00416968478950095,0.00011246585003778972,3.026062359115989e-06,8.133529387864503e-08,2.184673584377075e-09,5.865125857416223e-11,1.5739695508174874e-12,4.2225327294701795e-14,1.1324740848564716e-15,3.120173449352195e-17,8.365960674276382e-07,2.250465280526312e-08,6.047964463050939e-10,1.624312032152639e-11,4.360364573972496e-13,1.1700671817265673e-14,3.1387812296664295e-16,8.41769575178663e-18,2.2569507065717217e-19,6.216664539456552e-21
15,15.0,0.820160957822781,0.024661469938768707,0.000739804541744979,2.2171688356704165e-05,6.640705649058974e-07,1.9880772343907812e-08,5.949719227532531e-10,1.78004312050721e-11,5.324198378288499e-13,1.641209879867874e-14,0.0,0.13325695561151193,0.004009491664981742,0.00012031708269606792,3.606636636709417e-06,1.0804081868022334e-07,3.234915280615005e-09,9.682172777090303e-11,2.8969894676222063e-12,8.932885482757077e-14,0.0,0.11473821996725697,0.0034454442616610364,0.000103314517128017,3.095548026995302e-06,9.269985935823612e-08,2.7748616401104083e-09,8.303449175900464e-11,2.4840132271617217e-12,7.6582317737814e-14,0.0017502682286662976,5.2540296173579567e-05,1.5751735661617733e-06,4.718994082816469e-08,1.4130217397498524e-09,4.2293830680239975e-11,1.265510035560067e-12,3.785613585317447e-14,1.1321525220564279e-15,3.489513028519703e-17,0.00406755746735782,0.0001223046824673823,3.669198432312991e-06,1.099709822878005e-07,3.2939281987041226e-09,9.861668077873205e-11,2.9514021222240365e-12,8.83029813739009e-14,2.641256352263962e-15,8.141999256524946e-17,9.326329555088199e-07,2.7973000464578674e-08,8.382666792350011e-10,2.5105639263509817e-11,7.515715997850381e-13,2.2491456481937966e-14,6.728810344231874e-16,2.01256796659215e-17,6.018218144599846e-19,1.854730590940273e-20
16,16.0,0.8114192631299827,0.026966656465099343,0.0008942438889634378,2.9627772440132388e-05,9.81060038039416e-07,3.247211192060218e-08,1.0744383325346397e-09,3.554128416723933e-11,1.1753922203537414e-12,4.0192332836172825e-14,0.0,0.1268419748501506,0.004218172575002247,0.00013992430421817556,4.636918802122612e-06,1.535663562786825e-07,5.0835493595282295e-09,1.6822273677107281e-10,5.56514321333803e-12,1.9035509144915967e-13,0.0,0.1170535182762311,0.003885327983109577,0.00012879284170585705,4.2661870052681114e-06,1.412441170900224e-07,4.6744952975096645e-09,1.546552840554483e-10,5.11542883883224e-12,1.749458535017041e-13,0.0018301856552247913,6.072814469596358e-05,2.012678084370093e-06,6.666035736853329e-08,2.206765845850526e-09,7.30275512047277e-11,2.4159520874901857e-12,7.990630785797509e-14,2.642284778819586e-15,9.03427785152823e-17,0.003968464081094454,0.0001318845719720562,4.373742227148612e-06,1.4491773189931985e-07,4.798868335371111e-09,1.588441239436695e-10,5.256020115928345e-12,1.738688082814631e-13,5.750200017408497e-15,1.9663194947903093e-16,1.0308033976841226e-06,3.4177168349401735e-08,1.1322469421456924e-09,3.7489690513579795e-11,1.2408156215219586e-12,4.105466729959163e-14,1.358004135679523e-15,4.4909642108919034e-17,1.4848771919614275e-18,5.076455911773149e-20
17,17.0,0.8029798168895805,0.029274217473726827,0.0010650590747826054,3.871711339161719e-05,1.4067057933700653e-06,5.108988866278145e-08,1.8549534826797578e-09,6.733182518856762e-11,2.4435049441398465e-12,9.199653329792783e-14,0.0,0.12076727571888565,0.004405644944285353,0.00016033850181177626,5.829890561235694e-06,2.118510905991402e-07,7.695173092258712e-09,2.7942363878834174e-10,1.0143563009299026e-11,3.8200602083984726e-13,0.0,0.11899924937528623,0.004333363954226794,0.00015760272812558794,5.72806005096429e-06,2.0808876750399184e-07,7.556751618729683e-09,2.743448212277239e-10,9.95757544573698e-12,3.749470810843372e-13,0.0019068320679316555,6.941381137194994e-05,2.5240921040610663e-06,9.172643498725528e-08,3.3319154716429417e-09,1.209892569549881e-10,4.3921800842310186e-12,1.5940890652710768e-13,5.784392118813334e-15,2.1775713843891496e-16,0.0038722890690832254,0.0001411686948634146,5.136382191120353e-06,1.8672914736352683e-07,6.78474134852246e-09,2.464237029513669e-10,8.947373536370084e-12,3.2478508236916044e-13,1.1786926600865627e-14,4.437819863371823e-16,1.1307791620410574e-06,4.113378033744617e-08,1.4951701538826323e-09,5.4320720477138265e-11,1.972777160827229e-12,7.162435761222166e-14,2.599772275232806e-15,9.434462960113291e-17,3.423087047135979e-18,1.2885216843739425e-19
18,18.0,0.794829031118406,0.031577397374697606,0.001252104097358157,4.9609983809007715e-05,1.9646456430788828e-06,7.777540191256634e-08,3.0780514074016346e-09,1.2178853642641386e-10,4.8178022322032136e-12,1.9839826922118973e-13,0.0,0.1150125919854619,0.004572224644917968,0.00018135585521197344,7.187097406991707e-06,2.8466800963851016e-07,1.127074703223335e-08,4.4610078279552916e-10,1.7652391292511494e-11,7.271237345228312e-13,0.0,0.1206081902676886,0.0047864564907999,0.00018973246864943124,7.516111126708798e-06,2.976152548262907e-07,1.1780747441245057e-08,4.662018146319308e-10,1.8444944295365815e-11,7.596642285813344e-13,0.0019803758092715004,7.856665405292415e-05,3.113773443003326e-06,1.2333443572919642e-07,4.88320519750211e-09,1.9328099427092892e-10,7.648251093603961e-12,3.025807327335219e-13,1.1968485369989812e-14,4.928187419984571e-16,0.003778922521593558,0.0001501276742194807,5.953270244854556e-06,2.358902177055082e-07,9.342134172430203e-09,3.6984671568214826e-10,1.4637621265151828e-11,5.791809768776735e-13,2.2912295745262122e-14,9.435577483903679e-16,1.232261104787606e-06,4.885402040891488e-08,1.9354962006789174e-09,7.664477148411085e-11,3.0340432610726196e-12,1.200716067627003e-13,4.750707928499602e-15,1.8792742268985353e-16,7.432699341914718e-18,3.0602452402835836e-19
19,19.0,0.786954089687753,0.03387037534429705,0.0014551242342644675,6.246917701520836e-05,2.6805984975376844e-06,1.1498757230988438e-07,4.931213323546458e-09,2.1142698602133885e-10,9.063269393407695e-12,4.058441444501853e-13,0.0,0.10955902647482241,0.004718438889064994,0.0002027768203947827,8.707175819835187e-06,3.736915550455564e-07,1.603202628105665e-08,6.876033354734609e-10,2.9483878707685675e-11,1.3205958453315345e-12,0.0,0.1219102647485347,0.005241749806243896,0.00022512908886477051,9.663348140129872e-06,4.146158269077665e-07,1.7783977520359334e-08,7.626105651218666e-10,3.2695297359266376e-11,1.464241436887523e-12,0.0020509747259778955,8.815571406903193e-05,3.785536708878962e-06,1.6246865832549356e-07,6.970223579448745e-09,2.989485442238207e-10,1.281865297799926e-11,5.495418161305092e-13,2.3555011056675423e-14,1.0546763574576954e-15,0.003688259839037418,0.00015873856732534345,6.820142563920967e-06,2.928094012768287e-07,1.256527996887875e-08,5.390251876391243e-10,2.3116771904201823e-11,9.911677270045034e-13,4.24896809126204e-14,1.9026940028070273e-15,1.334976629615633e-06,5.7344028999945724e-08,2.4616023917571384e-09,1.0562322254643623e-10,4.530645788314288e-12,1.9428901302649423e-13,8.32995376922589e-15,3.570726224336271e-16,1.53038312348492e-17,6.851725697644192e-19
